id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
GVUSJ56GJ9BZBjJ1f0arlg,burritos-tin-tan-el-paso,Burritos Tin Tan,https://s3-media2.fl.yelpcdn.com/bphoto/wnEDKncTGYkBCfo7AzpzlQ/o.jpg,False,https://www.yelp.com/biz/burritos-tin-tan-el-paso?adjust_creative=5pT6LvQcfOarpa_4EsCvGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5pT6LvQcfOarpa_4EsCvGQ,6,"[{'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'latitude': 31.78913, 'longitude': -106.40319}",['pickup'],"{'address1': '1601 Sioux Dr', 'address2': 'Ste 101', 'address3': None, 'city': 'El Paso', 'zip_code': '79925', 'country': 'US', 'state': 'TX', 'display_address': ['1601 Sioux Dr', 'Ste 101', 'El Paso, TX 79925']}",+19152496531,(915) 249-6531,2290.404300949086,
kzxJuhaG7PN8xvp0PoEdKg,bodega-loya-socorro,Bodega Loya,https://s3-media3.fl.yelpcdn.com/bphoto/GltwELmkoOPaJIZgoXZK1g/o.jpg,False,https://www.yelp.com/biz/bodega-loya-socorro?adjust_creative=5pT6LvQcfOarpa_4EsCvGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5pT6LvQcfOarpa_4EsCvGQ,5,"[{'alias': 'markets', 'title': 'Fruits & Veggies'}]",5.0,"{'latitude': 31.65182487708872, 'longitude': -106.302768797032}",[],"{'address1': '10257 Socorro Rd', 'address2': '', 'address3': None, 'city': 'Socorro', 'zip_code': '79927', 'country': 'US', 'state': 'TX', 'display_address': ['10257 Socorro Rd', 'Socorro, TX 79927']}",+19152696277,(915) 269-6277,19660.50140248058,
eCCbQUFWqqUThj1gZoH-aQ,the-twins-restaurant-anthony,THE TWINS RESTAURANT,https://s3-media3.fl.yelpcdn.com/bphoto/47rhMbiGRVEQnem7MRX1qQ/o.jpg,False,https://www.yelp.com/biz/the-twins-restaurant-anthony?adjust_creative=5pT6LvQcfOarpa_4EsCvGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5pT6LvQcfOarpa_4EsCvGQ,6,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]",5.0,"{'latitude': 32.0002079, 'longitude': -106.60563957126362}",[],"{'address1': '117 N 1st St', 'address2': None, 'address3': '', 'city': 'Anthony', 'zip_code': '79821', 'country': 'US', 'state': 'TX', 'display_address': ['117 N 1st St', 'Anthony, TX 79821']}",+19152077022,(915) 207-7022,28500.846218981456,
NQ5D4SJRMYGCJvSdFxizZQ,el-coqui-restaurant-el-paso,El Coqui Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/NMqcLnA-4MYNsuyJlXr13Q/o.jpg,False,https://www.yelp.com/biz/el-coqui-restaurant-el-paso?adjust_creative=5pT6LvQcfOarpa_4EsCvGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5pT6LvQcfOarpa_4EsCvGQ,7,"[{'alias': 'puertorican', 'title': 'Puerto Rican'}]",5.0,"{'latitude': 31.83062517, 'longitude': -106.44484167}",['delivery'],"{'address1': '5810 Dyer St', 'address2': '', 'address3': None, 'city': 'El Paso', 'zip_code': '79904', 'country': 'US', 'state': 'TX', 'display_address': ['5810 Dyer St', 'El Paso, TX 79904']}",+19154448401,(915) 444-8401,4458.356970772483,
OIGuTz-rZowYUF1Mk2CAXg,humble-donut-co-el-paso-5,Humble Donut Co.,https://s3-media3.fl.yelpcdn.com/bphoto/g_Pf7iH86WYwwtS8FaLK3A/o.jpg,False,https://www.yelp.com/biz/humble-donut-co-el-paso-5?adjust_creative=5pT6LvQcfOarpa_4EsCvGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5pT6LvQcfOarpa_4EsCvGQ,11,"[{'alias': 'donuts', 'title': 'Donuts'}]",5.0,"{'latitude': 31.776603, 'longitude': -106.502333}","['pickup', 'delivery']","{'address1': '2604 N Mesa St', 'address2': '', 'address3': None, 'city': 'El Paso', 'zip_code': '79902', 'country': 'US', 'state': 'TX', 'display_address': ['2604 N Mesa St', 'El Paso, TX 79902']}",+19154918230,(915) 491-8230,7338.721282976731,
KZ1h_0jmqi3-GazUdcGNpw,la-playa-seafood-restaurant-el-paso,La Playa Seafood Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/GmOASN7Az2wzXhSz1FN8Wg/o.jpg,False,https://www.yelp.com/biz/la-playa-seafood-restaurant-el-paso?adjust_creative=5pT6LvQcfOarpa_4EsCvGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5pT6LvQcfOarpa_4EsCvGQ,7,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'seafood', 'title': 'Seafood'}]",5.0,"{'latitude': 31.7399520874023, 'longitude': -106.376289367676}",['delivery'],"{'address1': '7446 Alameda Ave', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79915', 'country': 'US', 'state': 'TX', 'display_address': ['7446 Alameda Ave', 'El Paso, TX 79915']}",+19157718610,(915) 771-8610,7657.41291703574,$$
MlD1g5r1ddyqB2fPZcTctg,flor-de-nogal-ciudad-juárez,Flor de Nogal,https://s3-media2.fl.yelpcdn.com/bphoto/S2psZ1J_wEpWKQZ6Ga29Fw/o.jpg,False,https://www.yelp.com/biz/flor-de-nogal-ciudad-ju%C3%A1rez?adjust_creative=5pT6LvQcfOarpa_4EsCvGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5pT6LvQcfOarpa_4EsCvGQ,6,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",5.0,"{'latitude': 31.664311, 'longitude': -106.378916}",[],"{'address1': 'Otiz Rubion S/N', 'address2': 'Col. Las Arcadas', 'address3': '', 'city': 'Ciudad Juárez', 'zip_code': '32563', 'country': 'MX', 'state': 'CHH', 'display_address': ['Otiz Rubion S/N', 'Col. Las Arcadas', '32563 Ciudad Juárez, Chihuahua', 'Mexico']}",+526561023168,+52 656 102 3168,15064.857687249509,
0F-u4_BwWH1SqipW8D52yg,pilon-el-paso,Pilon,https://s3-media4.fl.yelpcdn.com/bphoto/AkCMjk91_a4DJWbshUyzQA/o.jpg,False,https://www.yelp.com/biz/pilon-el-paso?adjust_creative=5pT6LvQcfOarpa_4EsCvGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5pT6LvQcfOarpa_4EsCvGQ,10,"[{'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",5.0,"{'latitude': 31.77551117637417, 'longitude': -106.50160631470592}",[],"{'address1': '2430 N Mesa St', 'address2': None, 'address3': '', 'city': 'El Paso', 'zip_code': '79902', 'country': 'US', 'state': 'TX', 'display_address': ['2430 N Mesa St', 'El Paso, TX 79902']}",+19155292430,(915) 529-2430,7298.676053560906,
HrT9hxBhj1FhDGO4zelF_Q,proof-and-press-el-paso,Proof And Press,https://s3-media3.fl.yelpcdn.com/bphoto/e8QyOGqe_o_Xx7VEcdfSuw/o.jpg,False,https://www.yelp.com/biz/proof-and-press-el-paso?adjust_creative=5pT6LvQcfOarpa_4EsCvGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5pT6LvQcfOarpa_4EsCvGQ,5,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",5.0,"{'latitude': 31.78709, 'longitude': -106.5071}",['delivery'],"{'address1': '3737 N Mesa St', 'address2': 'Ste B', 'address3': None, 'city': 'El Paso', 'zip_code': '79902', 'country': 'US', 'state': 'TX', 'display_address': ['3737 N Mesa St', 'Ste B', 'El Paso, TX 79902']}",,,7581.861913577159,
T60Uev1E5mTUvg6H2laFzg,stella-v-sweets-el-paso-2,Stella V Sweets,https://s3-media1.fl.yelpcdn.com/bphoto/vLEOgtV6ik1VYbqFQhghuA/o.jpg,False,https://www.yelp.com/biz/stella-v-sweets-el-paso-2?adjust_creative=5pT6LvQcfOarpa_4EsCvGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5pT6LvQcfOarpa_4EsCvGQ,9,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'catering', 'title': 'Caterers'}]",5.0,"{'latitude': 31.8271036, 'longitude': -106.5760857}",[],"{'address1': '', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79922', 'country': 'US', 'state': 'TX', 'display_address': ['El Paso, TX 79922']}",+17145537373,(714) 553-7373,14549.806791880395,$$
